getter,peers,micros,payload,rcv_flag,span
1,32,10,32,0,35
1,32,10,32,0,217
1,32,10,32,0,29
1,32,10,32,0,30
1,32,10,32,0,28
1,32,10,32,0,63
1,32,10,32,0,322
1,32,10,32,0,87
1,32,10,32,0,144
1,32,10,32,0,37
1,32,10,32,0,122
1,32,10,32,0,45
1,32,10,32,0,49
1,32,10,32,0,42
1,32,10,32,0,46
1,32,10,32,0,27
1,32,10,32,0,32
1,32,10,32,0,30
1,32,10,32,0,479
1,32,10,32,0,33
1,32,10,32,0,48
1,32,10,32,0,108
1,32,10,32,0,122
1,32,10,32,0,48
1,32,10,32,0,171
1,32,10,32,0,46
1,32,10,32,0,26
1,32,10,32,0,199
1,32,10,32,0,40
1,32,10,32,0,44
1,32,10,32,0,30
1,32,10,32,0,78
1,32,10,32,0,175
1,32,10,32,0,27
1,32,10,32,0,494
1,32,10,32,0,25
1,32,10,32,0,77
1,32,10,32,0,34
1,32,10,32,0,147
1,32,10,32,0,89
1,32,10,32,0,145
1,32,10,32,0,693
1,32,10,32,0,235
1,32,10,32,0,365
1,32,10,32,0,96
1,32,10,32,0,83
1,32,10,32,0,221
1,32,10,32,0,116
1,32,10,32,0,83
1,32,10,32,0,34
1,32,10,32,0,232
1,32,10,32,0,37
1,32,10,32,0,43
1,32,10,32,0,150
1,32,10,32,0,149
1,32,10,32,0,123
1,32,10,32,0,152
1,32,10,32,0,51
1,32,10,32,0,93
1,32,10,32,0,28
1,32,10,32,0,42
1,32,10,32,0,30
1,32,10,32,0,47
1,32,10,32,0,136
1,32,10,32,0,29
1,32,10,32,0,27
1,32,10,32,0,56
1,32,10,32,0,86
1,32,10,32,0,432
1,32,10,32,0,111
1,32,10,32,0,28
1,32,10,32,0,64
1,32,10,32,0,111
1,32,10,32,0,76
1,32,10,32,0,28
1,32,10,32,0,26
1,32,10,32,0,167
1,32,10,32,0,271
1,32,10,32,0,231
1,32,10,32,0,42
1,32,10,32,0,53
1,32,10,32,0,463
1,32,10,32,0,204
1,32,10,32,0,215
1,32,10,32,0,113
1,32,10,32,0,31
1,32,10,32,0,41
1,32,10,32,0,43
1,32,10,32,0,92
1,32,10,32,0,28
1,32,10,32,0,189
1,32,10,32,0,175
1,32,10,32,0,42
1,32,10,32,0,108
1,32,10,32,0,198
1,32,10,32,0,88
1,32,10,32,0,98
1,32,10,32,0,131
1,32,10,32,0,28
1,32,10,32,0,26
1,32,10,32,0,27
1,32,10,32,0,81
1,32,10,32,0,169
1,32,10,32,0,51
1,32,10,32,0,39
1,32,10,32,0,47
1,32,10,32,0,40
1,32,10,32,0,32
1,32,10,32,0,30
1,32,10,32,0,26
1,32,10,32,0,132
1,32,10,32,0,28
1,32,10,32,0,100
1,32,10,32,0,131
1,32,10,32,0,31
1,32,10,32,0,47
1,32,10,32,0,64
1,32,10,32,0,28
1,32,10,32,0,24
1,32,10,32,0,29
1,32,10,32,0,45
1,32,10,32,0,28
1,32,10,32,0,93
1,32,10,32,0,23
1,32,10,32,0,39
1,32,10,32,0,56
1,32,10,32,0,31
1,32,10,32,0,29
1,32,10,32,0,579
1,32,10,32,0,152
1,32,10,32,0,34
1,32,10,32,0,84
1,32,10,32,0,74
1,32,10,32,0,167
1,32,10,32,0,111
1,32,10,32,0,41
1,32,10,32,0,44
1,32,10,32,0,39
1,32,10,32,0,33
1,32,10,32,0,34
1,32,10,32,0,235
1,32,10,32,0,80
1,32,10,32,0,29
1,32,10,32,0,25
1,32,10,32,0,161
1,32,10,32,0,98
1,32,10,32,0,119
1,32,10,32,0,31
1,32,10,32,0,26
1,32,10,32,0,45
1,32,10,32,0,30
1,32,10,32,0,99
1,32,10,32,0,108
1,32,10,32,0,27
1,32,10,32,0,53
1,32,10,32,0,30
1,32,10,32,0,173
1,32,10,32,0,81
1,32,10,32,0,30
1,32,10,32,0,38
1,32,10,32,0,55
1,32,10,32,0,77
1,32,10,32,0,27
1,32,10,32,0,61
1,32,10,32,0,27
1,32,10,32,0,41
1,32,10,32,0,36
1,32,10,32,0,44
1,32,10,32,0,203
1,32,10,32,0,28
1,32,10,32,0,52
1,32,10,32,0,308
1,32,10,32,0,62
1,32,10,32,0,27
1,32,10,32,0,47
1,32,10,32,0,51
1,32,10,32,0,78
1,32,10,32,0,29
1,32,10,32,0,72
1,32,10,32,0,28
1,32,10,32,0,29
1,32,10,32,0,33
1,32,10,32,0,33
1,32,10,32,0,148
1,32,10,32,0,42
1,32,10,32,0,97
1,32,10,32,0,29
1,32,10,32,0,29
1,32,10,32,0,51
1,32,10,32,0,399
1,32,10,32,0,35
1,32,10,32,0,46
1,32,10,32,0,144
1,32,10,32,0,44
1,32,10,32,0,45
1,32,10,32,0,41
1,32,10,32,0,28
1,32,10,32,0,49
1,32,10,32,0,39
1,32,10,32,0,63
1,32,10,32,0,66
1,32,10,32,0,132
1,32,10,32,0,28
1,32,10,32,0,146
1,32,10,32,0,27
1,32,10,32,0,27
1,32,10,32,0,102
1,32,10,32,0,52
1,32,10,32,0,232
1,32,10,32,0,172
1,32,10,32,0,334
1,32,10,32,0,96
1,32,10,32,0,22
1,32,10,32,0,305
1,32,10,32,0,301
1,32,10,32,0,285
1,32,10,32,0,31
1,32,10,32,0,138
1,32,10,32,0,212
1,32,10,32,0,61
1,32,10,32,0,187
1,32,10,32,0,45
1,32,10,32,0,29
1,32,10,32,0,58
1,32,10,32,0,53
1,32,10,32,0,78
1,32,10,32,0,26
1,32,10,32,0,26
1,32,10,32,0,93
1,32,10,32,0,87
1,32,10,32,0,40
1,32,10,32,0,33
1,32,10,32,0,35
1,32,10,32,0,30
1,32,10,32,0,30
1,32,10,32,0,185
1,32,10,32,0,70
1,32,10,32,0,182
1,32,10,32,0,47
1,32,10,32,0,32
1,32,10,32,0,29
1,32,10,32,0,98
1,32,10,32,0,45
1,32,10,32,0,132
1,32,10,32,0,311
1,32,10,32,0,28
1,32,10,32,0,27
1,32,10,32,0,50
1,32,10,32,0,67
1,32,10,32,0,70
1,32,10,32,0,43
1,32,10,32,0,295
1,32,10,32,0,348
1,32,10,32,0,42
1,32,10,32,0,78
1,32,10,32,0,37
1,32,10,32,0,33
1,32,10,32,0,93
1,32,10,32,0,27
1,32,10,32,0,29
1,32,10,32,0,46
1,32,10,32,0,30
1,32,10,32,0,65
1,32,10,32,0,285
1,32,10,32,0,51
1,32,10,32,0,34
1,32,10,32,0,29
1,32,10,32,0,47
1,32,10,32,0,45
1,32,10,32,0,547
1,32,10,32,0,89
1,32,10,32,0,29
1,32,10,32,0,246
1,32,10,32,0,130
1,32,10,32,0,27
1,32,10,32,0,27
1,32,10,32,0,28
1,32,10,32,0,63
1,32,10,32,0,204
1,32,10,32,0,22
1,32,10,32,0,62
1,32,10,32,0,75
1,32,10,32,0,68
1,32,10,32,0,55
1,32,10,32,0,212
1,32,10,32,0,30
1,32,10,32,0,345
1,32,10,32,0,181
1,32,10,32,0,30
1,32,10,32,0,127
1,32,10,32,0,28
1,32,10,32,0,250
1,32,10,32,0,122
1,32,10,32,0,44
1,32,10,32,0,250
1,32,10,32,0,39
1,32,10,32,0,111
1,32,10,32,0,294
1,32,10,32,0,46
1,32,10,32,0,131
1,32,10,32,0,63
1,32,10,32,0,73
1,32,10,32,0,99
1,32,10,32,0,67
1,32,10,32,0,111
1,32,10,32,0,178
1,32,10,32,0,116
1,32,10,32,0,63
1,32,10,32,0,142
1,32,10,32,0,30
1,32,10,32,0,275
1,32,10,32,0,54
1,32,10,32,0,133
1,32,10,32,0,95
1,32,10,32,0,28
1,32,10,32,0,89
1,32,10,32,0,29
1,32,10,32,0,251
1,32,10,32,0,30
1,32,10,32,0,58
1,32,10,32,0,30
1,32,10,32,0,30
1,32,10,32,0,55
1,32,10,32,0,44
1,32,10,32,0,72
1,32,10,32,0,49
1,32,10,32,0,78
1,32,10,32,0,197
1,32,10,32,0,65
1,32,10,32,0,63
1,32,10,32,0,42
1,32,10,32,0,34
1,32,10,32,0,107
1,32,10,32,0,26
1,32,10,32,0,33
1,32,10,32,0,29
1,32,10,32,0,27
1,32,10,32,0,54
1,32,10,32,0,53
1,32,10,32,0,101
1,32,10,32,0,67
1,32,10,32,0,39
1,32,10,32,0,58
1,32,10,32,0,51
1,32,10,32,0,217
1,32,10,32,0,138
1,32,10,32,0,41
1,32,10,32,0,198
1,32,10,32,0,48
1,32,10,32,0,36
1,32,10,32,0,66
1,32,10,32,0,193
1,32,10,32,0,52
1,32,10,32,0,40
1,32,10,32,0,49
1,32,10,32,0,59
1,32,10,32,0,67
1,32,10,32,0,43
1,32,10,32,0,44
1,32,10,32,0,72
1,32,10,32,0,43
1,32,10,32,0,43
1,32,10,32,0,63
1,32,10,32,0,31
1,32,10,32,0,31
1,32,10,32,0,46
1,32,10,32,0,31
1,32,10,32,0,302
1,32,10,32,0,335
1,32,10,32,0,201
1,32,10,32,0,96
1,32,10,32,0,198
1,32,10,32,0,57
1,32,10,32,0,46
1,32,10,32,0,57
1,32,10,32,0,42
1,32,10,32,0,246
1,32,10,32,0,27
1,32,10,32,0,102
1,32,10,32,0,29
1,32,10,32,0,108
1,32,10,32,0,74
1,32,10,32,0,28
1,32,10,32,0,28
1,32,10,32,0,110
1,32,10,32,0,174
1,32,10,32,0,36
1,32,10,32,0,42
1,32,10,32,0,48
1,32,10,32,0,48
1,32,10,32,0,39
1,32,10,32,0,46
1,32,10,32,0,166
1,32,10,32,0,42
1,32,10,32,0,39
1,32,10,32,0,47
1,32,10,32,0,64
1,32,10,32,0,62
1,32,10,32,0,164
1,32,10,32,0,35
1,32,10,32,0,92
1,32,10,32,0,39
1,32,10,32,0,34
1,32,10,32,0,40
1,32,10,32,0,171
1,32,10,32,0,117
1,32,10,32,0,320
1,32,10,32,0,126
1,32,10,32,0,45
1,32,10,32,0,66
1,32,10,32,0,200
1,32,10,32,0,53
1,32,10,32,0,70
1,32,10,32,0,44
1,32,10,32,0,243
1,32,10,32,0,51
1,32,10,32,0,53
1,32,10,32,0,99
1,32,10,32,0,59
1,32,10,32,0,28
1,32,10,32,0,28
1,32,10,32,0,303
1,32,10,32,0,42
1,32,10,32,0,32
1,32,10,32,0,148
1,32,10,32,0,27
1,32,10,32,0,30
1,32,10,32,0,43
1,32,10,32,0,31
1,32,10,32,0,39
1,32,10,32,0,190
1,32,10,32,0,92
1,32,10,32,0,32
1,32,10,32,0,26
1,32,10,32,0,30
1,32,10,32,0,40
1,32,10,32,0,38
1,32,10,32,0,31
1,32,10,32,0,40
1,32,10,32,0,426
1,32,10,32,0,109
1,32,10,32,0,73
1,32,10,32,0,208
1,32,10,32,0,135
1,32,10,32,0,73
1,32,10,32,0,173
1,32,10,32,0,48
1,32,10,32,0,39
1,32,10,32,0,54
1,32,10,32,0,50
1,32,10,32,0,67
1,32,10,32,0,50
1,32,10,32,0,242
1,32,10,32,0,94
1,32,10,32,0,34
1,32,10,32,0,31
1,32,10,32,0,99
1,32,10,32,0,109
1,32,10,32,0,44
1,32,10,32,0,27
1,32,10,32,0,73
1,32,10,32,0,90
1,32,10,32,0,38
1,32,10,32,0,121
1,32,10,32,0,214
1,32,10,32,0,97
1,32,10,32,0,40
1,32,10,32,0,41
1,32,10,32,0,27
1,32,10,32,0,64
1,32,10,32,0,42
1,32,10,32,0,51
1,32,10,32,0,44
1,32,10,32,0,120
1,32,10,32,0,47
1,32,10,32,0,43
1,32,10,32,0,40
1,32,10,32,0,41
1,32,10,32,0,54
1,32,10,32,0,40
1,32,10,32,0,55
1,32,10,32,0,250
1,32,10,32,0,71
1,32,10,32,0,29
1,32,10,32,0,262
1,32,10,32,0,30
1,32,10,32,0,28
1,32,10,32,0,36
1,32,10,32,0,98
1,32,10,32,0,51
1,32,10,32,0,118
1,32,10,32,0,30
1,32,10,32,0,96
1,32,10,32,0,40
1,32,10,32,0,29
1,32,10,32,0,66
1,32,10,32,0,285
1,32,10,32,0,27
1,32,10,32,0,27
1,32,10,32,0,129
1,32,10,32,0,28
1,32,10,32,0,40
1,32,10,32,0,28
1,32,10,32,0,24
1,32,10,32,0,31
1,32,10,32,0,30
1,32,10,32,0,69
1,32,10,32,0,41
1,32,10,32,0,53
1,32,10,32,0,102
1,32,10,32,0,166
1,32,10,32,0,55
1,32,10,32,0,51
1,32,10,32,0,31
1,32,10,32,0,83
1,32,10,32,0,156
1,32,10,32,0,34
1,32,10,32,0,64
1,32,10,32,0,135
1,32,10,32,0,117
1,32,10,32,0,20
1,32,10,32,0,29
1,32,10,32,0,26
1,32,10,32,0,29
1,32,10,32,0,120
1,32,10,32,0,39
1,32,10,32,0,87
1,32,10,32,0,138
1,32,10,32,0,65
1,32,10,32,0,34
1,32,10,32,0,41
1,32,10,32,0,45
1,32,10,32,0,64
1,32,10,32,0,53
1,32,10,32,0,101
1,32,10,32,0,28
1,32,10,32,0,622
1,32,10,32,0,41
1,32,10,32,0,27
1,32,10,32,0,59
1,32,10,32,0,28
1,32,10,32,0,31
1,32,10,32,0,119
1,32,10,32,0,120
1,32,10,32,0,127
1,32,10,32,0,27
1,32,10,32,0,26
1,32,10,32,0,350
1,32,10,32,0,182
1,32,10,32,0,121
1,32,10,32,0,168
1,32,10,32,0,34
1,32,10,32,0,31
1,32,10,32,0,57
1,32,10,32,0,57
1,32,10,32,0,211
1,32,10,32,0,115
1,32,10,32,0,64
1,32,10,32,0,69
1,32,10,32,0,26
1,32,10,32,0,43
1,32,10,32,0,131
1,32,10,32,0,72
1,32,10,32,0,33
1,32,10,32,0,34
1,32,10,32,0,59
1,32,10,32,0,101
1,32,10,32,0,89
1,32,10,32,0,30
1,32,10,32,0,30
1,32,10,32,0,113
1,32,10,32,0,146
1,32,10,32,0,26
1,32,10,32,0,28
1,32,10,32,0,54
1,32,10,32,0,42
1,32,10,32,0,43
1,32,10,32,0,245
1,32,10,32,0,49
1,32,10,32,0,49
1,32,10,32,0,39
1,32,10,32,0,43
1,32,10,32,0,60
1,32,10,32,0,62
1,32,10,32,0,45
1,32,10,32,0,38
1,32,10,32,0,50
1,32,10,32,0,53
1,32,10,32,0,59
1,32,10,32,0,573
1,32,10,32,0,68
1,32,10,32,0,28
1,32,10,32,0,57
1,32,10,32,0,44
1,32,10,32,0,60
1,32,10,32,0,318
1,32,10,32,0,171
1,32,10,32,0,152
1,32,10,32,0,47
1,32,10,32,0,255
1,32,10,32,0,104
1,32,10,32,0,333
1,32,10,32,0,326
1,32,10,32,0,188
1,32,10,32,0,327
1,32,10,32,0,80
1,32,10,32,0,62
1,32,10,32,0,143
1,32,10,32,0,62
1,32,10,32,0,168
1,32,10,32,0,70
1,32,10,32,0,26
1,32,10,32,0,75
1,32,10,32,0,32
1,32,10,32,0,29
1,32,10,32,0,31
1,32,10,32,0,252
1,32,10,32,0,51
1,32,10,32,0,275
1,32,10,32,0,42
1,32,10,32,0,39
1,32,10,32,0,57
1,32,10,32,0,316
1,32,10,32,0,75
1,32,10,32,0,39
1,32,10,32,0,32
1,32,1,32,0,5
1,32,1,32,0,1
1,32,1,32,0,0
1,32,1,32,0,1
1,32,1,32,0,1
1,32,1,32,0,0
1,32,1,32,0,1
1,32,1,32,0,3
1,32,1,32,0,54
1,32,1,32,0,90
1,32,1,32,0,9
1,32,1,32,0,13
1,32,1,32,0,307
1,32,1,32,0,329
1,32,1,32,0,20
1,32,1,32,0,356
1,32,1,32,0,368
1,32,1,32,0,1049
1,32,1,32,0,657
1,32,1,32,0,33
1,32,1,32,0,282
1,32,1,32,0,54
1,32,1,32,0,338
1,32,1,32,0,100
1,32,1,32,0,137
1,32,1,32,0,115
1,32,1,32,0,43
1,32,1,32,0,32
1,32,1,32,0,29
1,32,1,32,0,134
1,32,1,32,0,235
1,32,1,32,0,26
1,32,1,32,0,27
1,32,1,32,0,403
1,32,1,32,0,37
1,32,1,32,0,38
1,32,1,32,0,200
1,32,1,32,0,26
1,32,1,32,0,91
1,32,1,32,0,27
1,32,1,32,0,261
1,32,1,32,0,85
1,32,1,32,0,71
1,32,1,32,0,29
1,32,1,32,0,26
1,32,1,32,0,26
1,32,1,32,0,92
1,32,1,32,0,187
1,32,1,32,0,346
1,32,1,32,0,114
1,32,1,32,0,79
1,32,1,32,0,30
1,32,1,32,0,27
1,32,1,32,0,52
1,32,1,32,0,272
1,32,1,32,0,26
1,32,1,32,0,50
1,32,1,32,0,58
1,32,1,32,0,41
1,32,1,32,0,30
1,32,1,32,0,36
1,32,1,32,0,46
1,32,1,32,0,30
1,32,1,32,0,28
1,32,1,32,0,96
1,32,1,32,0,172
1,32,1,32,0,46
1,32,1,32,0,46
1,32,1,32,0,38
1,32,1,32,0,94
1,32,1,32,0,134
1,32,1,32,0,31
1,32,1,32,0,37
1,32,1,32,0,35
1,32,1,32,0,38
1,32,1,32,0,33
1,32,1,32,0,156
1,32,1,32,0,39
1,32,1,32,0,118
1,32,1,32,0,624
1,32,1,32,0,36
1,32,1,32,0,27
1,32,1,32,0,56
1,32,1,32,0,47
1,32,1,32,0,42
1,32,1,32,0,80
1,32,1,32,0,63
1,32,1,32,0,40
1,32,1,32,0,45
1,32,1,32,0,42
1,32,1,32,0,41
1,32,1,32,0,42
1,32,1,32,0,41
1,32,1,32,0,500
1,32,1,32,0,46
1,32,1,32,0,42
1,32,1,32,0,254
1,32,1,32,0,86
1,32,1,32,0,40
1,32,1,32,0,46
1,32,1,32,0,44
1,32,1,32,0,61
1,32,1,32,0,50
1,32,1,32,0,65
1,32,1,32,0,132
1,32,1,32,0,31
1,32,1,32,0,30
1,32,1,32,0,189
1,32,1,32,0,129
1,32,1,32,0,106
1,32,1,32,0,103
1,32,1,32,0,144
1,32,1,32,0,51
1,32,1,32,0,52
1,32,1,32,0,41
1,32,1,32,0,42
1,32,1,32,0,45
1,32,1,32,0,108
1,32,1,32,0,45
1,32,1,32,0,44
1,32,1,32,0,45
1,32,1,32,0,43
1,32,1,32,0,443
1,32,1,32,0,53
1,32,1,32,0,74
1,32,1,32,0,361
1,32,1,32,0,162
1,32,1,32,0,31
1,32,1,32,0,192
1,32,1,32,0,62
1,32,1,32,0,260
1,32,1,32,0,160
1,32,1,32,0,99
1,32,1,32,0,318
1,32,1,32,0,95
1,32,1,32,0,36
1,32,1,32,0,33
1,32,1,32,0,33
1,32,1,32,0,42
1,32,1,32,0,29
1,32,1,32,0,28
1,32,1,32,0,81
1,32,1,32,0,43
1,32,1,32,0,44
1,32,1,32,0,50
1,32,1,32,0,143
1,32,1,32,0,30
1,32,1,32,0,33
1,32,1,32,0,27
1,32,1,32,0,30
1,32,1,32,0,342
1,32,1,32,0,103
1,32,1,32,0,33
1,32,1,32,0,48
1,32,1,32,0,32
1,32,1,32,0,21
1,32,1,32,0,33
1,32,1,32,0,46
1,32,1,32,0,47
1,32,1,32,0,33
1,32,1,32,0,28
1,32,1,32,0,26
1,32,1,32,0,186
1,32,1,32,0,63
1,32,1,32,0,51
1,32,1,32,0,106
1,32,1,32,0,29
1,32,1,32,0,73
1,32,1,32,0,352
1,32,1,32,0,293
1,32,1,32,0,33
1,32,1,32,0,115
1,32,1,32,0,47
1,32,1,32,0,277
1,32,1,32,0,60
1,32,1,32,0,45
1,32,1,32,0,43
1,32,1,32,0,137
1,32,1,32,0,50
1,32,1,32,0,100
1,32,1,32,0,44
1,32,1,32,0,46
1,32,1,32,0,38
1,32,1,32,0,42
1,32,1,32,0,51
1,32,1,32,0,40
1,32,1,32,0,26
1,32,1,32,0,250
1,32,1,32,0,113
1,32,1,32,0,26
1,32,1,32,0,116
1,32,1,32,0,244
1,32,1,32,0,35
1,32,1,32,0,33
1,32,1,32,0,27
1,32,1,32,0,31
1,32,1,32,0,50
1,32,1,32,0,185
1,32,1,32,0,60
1,32,1,32,0,312
1,32,1,32,0,37
1,32,1,32,0,45
1,32,1,32,0,43
1,32,1,32,0,59
1,32,1,32,0,47
1,32,1,32,0,60
1,32,1,32,0,58
1,32,1,32,0,71
1,32,1,32,0,47
1,32,1,32,0,78
1,32,1,32,0,47
1,32,1,32,0,273
1,32,1,32,0,109
1,32,1,32,0,168
1,32,1,32,0,75
1,32,1,32,0,26
1,32,1,32,0,32
1,32,1,32,0,33
1,32,1,32,0,35
1,32,1,32,0,99
1,32,1,32,0,26
1,32,1,32,0,30
1,32,1,32,0,77
1,32,1,32,0,256
1,32,1,32,0,82
1,32,1,32,0,42
1,32,1,32,0,59
1,32,1,32,0,49
1,32,1,32,0,48
1,32,1,32,0,44
1,32,1,32,0,51
1,32,1,32,0,74
1,32,1,32,0,52
1,32,1,32,0,52
1,32,1,32,0,44
1,32,1,32,0,98
1,32,1,32,0,142
1,32,1,32,0,55
1,32,1,32,0,39
1,32,1,32,0,43
1,32,1,32,0,57
1,32,1,32,0,53
1,32,1,32,0,57
1,32,1,32,0,42
1,32,1,32,0,45
1,32,1,32,0,38
1,32,1,32,0,52
1,32,1,32,0,44
1,32,1,32,0,41
1,32,1,32,0,26
1,32,1,32,0,33
1,32,1,32,0,39
1,32,1,32,0,61
1,32,1,32,0,33
1,32,1,32,0,56
1,32,1,32,0,210
1,32,1,32,0,72
1,32,1,32,0,43
1,32,1,32,0,36
1,32,1,32,0,50
1,32,1,32,0,604
1,32,1,32,0,44
1,32,1,32,0,2663
1,32,1,32,0,96
1,32,1,32,0,30
1,32,1,32,0,321
1,32,1,32,0,28
1,32,1,32,0,321
1,32,1,32,0,98
1,32,1,32,0,28
1,32,1,32,0,42
1,32,1,32,0,80
1,32,1,32,0,49
1,32,1,32,0,56
1,32,1,32,0,146
1,32,1,32,0,118
1,32,1,32,0,249
1,32,1,32,0,48
1,32,1,32,0,35
1,32,1,32,0,201
1,32,1,32,0,72
1,32,1,32,0,38
1,32,1,32,0,28
1,32,1,32,0,48
1,32,1,32,0,94
1,32,1,32,0,40
1,32,1,32,0,225
1,32,1,32,0,72
1,32,1,32,0,242
1,32,1,32,0,32
1,32,1,32,0,87
1,32,1,32,0,303
1,32,1,32,0,35
1,32,1,32,0,135
1,32,1,32,0,31
1,32,1,32,0,198
1,32,1,32,0,29
1,32,1,32,0,27
1,32,1,32,0,144
1,32,1,32,0,28
1,32,1,32,0,29
1,32,1,32,0,64
1,32,1,32,0,29
1,32,1,32,0,257
1,32,1,32,0,33
1,32,1,32,0,44
1,32,1,32,0,33
1,32,1,32,0,34
1,32,1,32,0,3123
1,32,1,32,0,39
1,32,1,32,0,99
1,32,1,32,0,28
1,32,1,32,0,28
1,32,1,32,0,120
1,32,1,32,0,31
1,32,1,32,0,82
1,32,1,32,0,38
1,32,1,32,0,121
1,32,1,32,0,66
1,32,1,32,0,55
1,32,1,32,0,35
1,32,1,32,0,33
1,32,1,32,0,80
1,32,1,32,0,34
1,32,1,32,0,65
1,32,1,32,0,47
1,32,1,32,0,39
1,32,1,32,0,79
1,32,1,32,0,83
1,32,1,32,0,49
1,32,1,32,0,61
1,32,1,32,0,31
1,32,1,32,0,126
1,32,1,32,0,35
1,32,1,32,0,34
1,32,1,32,0,56
1,32,1,32,0,28
1,32,1,32,0,33
1,32,1,32,0,54
1,32,1,32,0,90
1,32,1,32,0,425
1,32,1,32,0,27
1,32,1,32,0,28
1,32,1,32,0,109
1,32,1,32,0,34
1,32,1,32,0,131
1,32,1,32,0,27
1,32,1,32,0,52
1,32,1,32,0,188
1,32,1,32,0,122
1,32,1,32,0,61
1,32,1,32,0,50
1,32,1,32,0,44
1,32,1,32,0,47
1,32,1,32,0,55
1,32,1,32,0,154
1,32,1,32,0,70
1,32,1,32,0,108
1,32,1,32,0,42
1,32,1,32,0,52
1,32,1,32,0,29
1,32,1,32,0,28
1,32,1,32,0,43
1,32,1,32,0,29
1,32,1,32,0,180
1,32,1,32,0,41
1,32,1,32,0,245
1,32,1,32,0,34
1,32,1,32,0,32
1,32,1,32,0,33
1,32,1,32,0,25
1,32,1,32,0,31
1,32,1,32,0,312
1,32,1,32,0,26
1,32,1,32,0,97
1,32,1,32,0,36
1,32,1,32,0,410
1,32,1,32,0,70
1,32,1,32,0,123
1,32,1,32,0,67
1,32,1,32,0,170
1,32,1,32,0,56
1,32,1,32,0,50
1,32,1,32,0,169
1,32,1,32,0,37
1,32,1,32,0,46
1,32,1,32,0,47
1,32,1,32,0,28
1,32,1,32,0,61
1,32,1,32,0,40
1,32,1,32,0,64
1,32,1,32,0,28
1,32,1,32,0,46
1,32,1,32,0,35
1,32,1,32,0,100
1,32,1,32,0,34
1,32,1,32,0,129
1,32,1,32,0,34
1,32,1,32,0,119
1,32,1,32,0,44
1,32,1,32,0,31
1,32,1,32,0,33
1,32,1,32,0,242
1,32,1,32,0,57
1,32,1,32,0,178
1,32,1,32,0,46
1,32,1,32,0,48
1,32,1,32,0,46
1,32,1,32,0,40
1,32,1,32,0,51
1,32,1,32,0,201
1,32,1,32,0,51
1,32,1,32,0,134
1,32,1,32,0,60
1,32,1,32,0,44
1,32,1,32,0,58
1,32,1,32,0,76
1,32,1,32,0,50
1,32,1,32,0,45
1,32,1,32,0,92
1,32,1,32,0,45
1,32,1,32,0,142
1,32,1,32,0,117
1,32,1,32,0,198
1,32,1,32,0,213
1,32,1,32,0,37
1,32,1,32,0,220
1,32,1,32,0,45
1,32,1,32,0,32
1,32,1,32,0,270
1,32,1,32,0,110
1,32,1,32,0,46
1,32,1,32,0,38
1,32,1,32,0,176
1,32,1,32,0,42
1,32,1,32,0,42
1,32,1,32,0,246
1,32,1,32,0,34
1,32,1,32,0,41
1,32,1,32,0,58
1,32,1,32,0,44
1,32,1,32,0,74
1,32,1,32,0,34
1,32,1,32,0,32
1,32,1,32,0,30
1,32,1,32,0,36
1,32,1,32,0,28
1,32,1,32,0,120
1,32,1,32,0,62
1,32,1,32,0,34
1,32,1,32,0,77
1,32,1,32,0,67
1,32,1,32,0,34
1,32,1,32,0,607
1,32,1,32,0,244
1,32,1,32,0,95
1,32,1,32,0,27
1,32,1,32,0,31
1,32,1,32,0,45
1,32,1,32,0,273
1,32,1,32,0,82
1,32,1,32,0,29
1,32,1,32,0,56
1,32,1,32,0,75
1,32,1,32,0,69
1,32,1,32,0,32
1,32,1,32,0,32
1,32,1,32,0,28
1,32,1,32,0,304
1,32,1,32,0,182
1,32,1,32,0,345
1,32,1,32,0,105
1,32,1,32,0,35
1,32,1,32,0,294
1,32,1,32,0,38
1,32,1,32,0,205
1,32,1,32,0,76
1,32,1,32,0,36
1,32,1,32,0,167
1,32,1,32,0,31
1,32,1,32,0,40
1,32,1,32,0,36
1,32,1,32,0,292
1,32,1,32,0,61
1,32,1,32,0,92
1,32,1,32,0,63
1,32,1,32,0,48
1,32,1,32,0,72
1,32,1,32,0,44
1,32,1,32,0,58
1,32,1,32,0,398
1,32,1,32,0,2242
1,32,1,32,0,47
1,32,1,32,0,46
1,32,1,32,0,45
1,32,1,32,0,293
1,32,1,32,0,49
1,32,1,32,0,267
1,32,1,32,0,48
1,32,1,32,0,114
1,32,1,32,0,120
1,32,1,32,0,117
1,32,1,32,0,28
1,32,1,32,0,28
1,32,1,32,0,129
1,32,1,32,0,68
1,32,1,32,0,107
1,32,1,32,0,37
1,32,1,32,0,35
1,32,1,32,0,119
1,32,1,32,0,77
1,32,1,32,0,33
1,32,1,32,0,35
1,32,1,32,0,31
1,32,1,32,0,27
1,32,1,32,0,83
1,32,1,32,0,269
1,32,1,32,0,59
1,32,1,32,0,31
1,32,1,32,0,29
1,32,1,32,0,27
1,32,1,32,0,38
1,32,1,32,0,58
1,32,1,32,0,95
1,32,1,32,0,164
1,32,1,32,0,41
1,32,1,32,0,59
1,32,1,32,0,701
1,32,1,32,0,172
1,32,1,32,0,78
1,32,1,32,0,36
1,32,1,32,0,33
1,32,1,32,0,33
1,32,1,32,0,32
1,32,1,32,0,674
1,32,1,32,0,73
1,32,1,32,0,50
1,32,1,32,0,314
